400	100	50	4

9	2	316	211	339	22	157	160	385	80	146	
9	3	336	156	338	10	206	376	266	261	4	
2	1	49	386	
5	4	384	253	107	277	127	
7	3	189	332	359	356	335	162	217	
8	2	263	148	320	3	118	387	260	395	
14	5	330	72	399	175	223	256	227	333	343	349	202	390	242	136	
7	3	219	112	197	164	56	201	275	
8	5	357	79	124	244	312	327	258	62	
12	5	294	55	64	150	186	246	94	126	364	185	307	40	
10	3	321	17	121	48	108	144	329	5	286	296	
8	3	279	24	398	348	51	76	305	238	
8	6	180	299	27	262	363	203	198	314	
5	2	245	122	268	234	232	
11	6	166	368	255	250	103	117	81	38	1	105	337	
7	2	295	35	145	274	31	187	60	
5	2	222	140	120	13	251	
4	2	221	93	19	360	
9	3	273	388	317	272	365	240	285	87	212	
9	4	235	99	142	181	132	225	375	100	226	
7	3	66	313	315	205	137	215	230	
14	7	151	283	214	54	139	239	383	30	396	149	170	168	85	152	
7	2	297	192	163	44	176	57	254	
6	1	7	58	208	179	318	29	
6	1	392	257	310	346	237	110	
7	1	20	8	2	116	86	174	323	
9	3	83	147	178	37	138	209	306	159	25	
11	4	167	11	325	241	304	379	372	114	131	133	12	
5	1	47	355	78	59	353	
14	6	32	303	301	354	71	188	134	184	362	102	128	291	207	378	
5	3	393	9	125	74	65	
5	2	290	28	352	123	220	
7	2	300	370	342	61	243	324	233	
9	6	82	191	153	271	374	252	276	97	23	
8	4	84	259	389	14	267	287	36	169	
9	2	89	177	18	50	382	46	199	358	98	
8	4	88	75	111	282	331	101	345	155	
7	5	45	228	92	182	249	278	165	
8	2	319	265	311	210	328	288	96	53	
10	5	298	172	67	381	231	216	161	289	340	26	
2	1	90	351	
6	5	302	344	347	292	33	173	
14	7	68	119	91	371	284	106	130	34	104	141	171	183	391	369	
14	7	400	361	113	16	350	73	109	308	69	264	213	194	200	309	
6	1	248	204	21	218	63	281	
5	2	115	397	326	322	42	
7	3	341	380	269	41	394	377	39	
7	2	196	95	373	334	229	52	154	
5	4	158	15	43	236	143	
15	5	129	135	190	6	280	293	366	224	367	195	70	77	247	193	270	

1	151	273	279	290	
2	24	32	166	189	
3	20	167	283	321	
4	82	129	330	336	
5	17	191	196	214	
6	28	68	84	153	
7	54	368	398	400	
8	303	384	388	392	
9	95	135	139	221	
10	11	47	83	319	
11	115	156	219	259	
12	112	239	255	263	
13	197	325	357	389	
14	45	148	222	235	
15	190	317	320	341	
16	228	265	301	361	
17	3	14	300	332	
18	6	89	298	338	
19	316	348	370	373	
20	113	118	121	172	
21	48	177	271	342	
22	16	18	67	250	
23	211	352	354	359	
24	72	92	93	99	
25	66	257	280	350	
26	50	51	294	374	
27	380	383	387	399	
28	142	175	245	310	
29	61	103	108	119	
30	88	272	302	313	
31	75	91	269	315	
32	10	79	147	267	
33	339	371	381	382	
34	122	158	223	393	
35	30	178	206	256	
36	73	248	297	355	
37	7	365	396	397	
38	111	180	284	311	
39	41	140	282	334	
40	144	227	231	268	
41	106	109	117	124	
42	58	81	192	244	
43	182	205	210	287	
44	130	299	328	333	
45	22	34	55	90	
46	9	27	163	295	
47	229	240	252	293	
48	78	137	329	331	
49	8	36	49	64	
50	35	343	346	351	
51	37	59	181	241	
52	132	356	376	394	
53	253	285	344	349	
54	19	87	312	366	
55	2	44	204	347	
56	107	120	145	149	
57	21	224	262	276	
58	5	208	327	353	
59	52	170	176	243	
60	15	150	277	304	
61	57	104	288	308	
62	164	326	335	379	
63	123	216	225	237	
64	71	101	141	324	
65	125	157	161	171	
66	186	274	289	372	
67	38	76	188	292	
68	69	169	202	218	
69	1	43	138	367	
70	96	179	360	375	
71	160	195	209	234	
72	70	100	246	264	
73	94	134	183	213	
74	184	194	215	220	
75	13	363	377	390	
76	63	306	322	345	
77	154	168	340	362	
78	46	266	385	391	
79	230	242	254	305	
80	31	85	136	260	
81	114	203	258	386	
82	102	126	155	261	
83	199	200	238	286	
84	33	97	110	127	
85	39	56	77	128	
86	232	291	358	364	
87	185	198	226	247	
88	26	53	98	116	
89	42	80	159	307	
90	131	207	236	249	
91	40	143	162	193	
92	4	23	86	105	
93	74	152	201	251	
94	133	174	187	278	
95	212	314	318	337	
96	12	217	309	369	
97	270	275	281	296	
98	173	323	378	395	
99	25	65	146	165	
100	29	60	62	233	

1	1	0	0	1	0	
0	1	0	1	1	0	
0	0	1	1	0	1	
1	0	1	0	0	1	
